Date,close,high,low,open,volume,symbol,rsi,macd,macd_signal,macd_hist,ema_20,ema_50,target_date,future_return,signal
2019-12-26,296.8048095703125,296.81400925619135,295.6100284146214,295.61920005267746,30911200,SPY,79.77485710725122,3.4491083387994195,3.0082630281055063,0.4408453106939132,290.5985496975256,284.80298301320556,2020-01-03,-0.0016412186269368911,0
2019-12-27,296.7313232421875,297.59525244043,296.1982742709324,297.5401104105701,42528800,SPY,79.32855721038466,3.515984869095746,3.1098073963035544,0.40617747279219163,291.1826233684458,285.27076106140095,2020-01-06,0.00241595130538097,0
2019-12-30,295.0953063964844,296.9518477800344,294.60819988500094,296.81399273863747,49729100,SPY,69.94660343762382,3.397804341105484,3.1674067852639407,0.23039755584154342,291.5552598473066,285.6560373490513,2020-01-07,0.005139258443115358,0
2019-12-31,295.81219482421875,296.06036195843774,294.2405911813962,294.58984266820624,57077300,SPY,71.5352233285065,3.32367902319902,3.1986612328509567,0.12501779034806315,291.96068222606016,286.054318034352,2020-01-08,0.008047106138814764,0
2020-01-02,298.5786437988281,298.5970431726698,296.4280206462973,297.356291494872,59151200,SPY,76.66201401281025,3.448412335939736,3.2486114534687127,0.19980088247102312,292.5909642806095,286.54546806433143,2020-01-09,0.005479043216737756,0
2020-01-03,296.31768798828125,297.44815542889734,295.113707207835,295.16884922466295,77709700,SPY,66.17220657427434,3.3264785723061436,3.264184877236199,0.06229369506994464,292.9458903480068,286.92869237507455,2020-01-10,0.010235497600450172,0
2020-01-06,297.4482116699219,297.53092471080305,294.43363125828694,294.55311499994644,55653900,SPY,68.4936477773212,3.2832220589086205,3.2679923135706836,0.015229745337936862,293.37468285485585,287.34122254349995,2020-01-13,0.013317214510675024,0
2020-01-07,296.61187744140625,297.356322917187,296.1615134520832,296.8783879120139,40496400,SPY,64.9430491205953,3.145199871391867,3.2434338251349204,-0.09823395374305344,293.682987101194,287.7047776375355,2020-01-14,0.014624907067098292,0
2020-01-08,298.192626953125,299.41497916417444,296.5566815316368,296.8048206292058,68296000,SPY,68.28906643782896,3.127319772461533,3.220211014600243,-0.09289124213871025,294.1124766109017,288.11606584599,2020-01-15,0.011527271640588532,0
2020-01-09,300.2145690917969,300.2881104865505,299.1760142615381,299.76423322827105,48473300,SPY,71.97381890657236,3.2389667057581732,3.223962152831829,0.015004552926344061,294.69362827574884,288.5905169536687,2020-01-16,0.01307211201786318,0
2020-01-10,299.35064697265625,300.95902143443385,298.881939773459,300.80279505064306,53029300,SPY,68.32087291865946,3.220611208600303,3.2232919639855244,-0.0026807553852212784,295.1371538659305,289.0124828367663,2020-01-17,0.01915818765430788,0
2020-01-13,301.4093933105469,301.41856494947825,299.5436800075611,299.97564456775115,47086800,SPY,71.97160426085416,3.333758476144851,3.24538526641739,0.08837320972746099,295.734510003513,289.49863618867926,2020-01-21,0.010214970096439124,0
2020-01-14,300.9497985839844,302.0250959058107,300.3891507106997,300.9681699060616,62832800,SPY,70.03136129653036,3.3477522434566254,3.2658586618252374,0.08189358163138794,296.23120415403406,289.947701380652,2020-01-22,0.011879909421698809,0
2020-01-15,301.6299743652344,302.3927911075288,300.7752448949001,300.8579579357879,72056600,SPY,71.26595078734186,3.3748240352284142,3.287651736505873,0.08717229872254117,296.74537274557696,290.4058297329886,2020-01-23,0.010756276096335782,0
2020-01-16,304.1390075683594,304.1390075683594,302.78797198801493,303.01773975305434,54050300,SPY,75.30704161785827,3.5577253921624106,3.3416664676371806,0.21605892452523,297.4495284429848,290.9443857265326,2020-01-24,-0.006497072504419221,0
2020-01-17,305.0856628417969,305.297031244174,304.07467902230604,304.8558950668137,95846000,SPY,76.64182508985543,3.735996956961401,3.420532565502025,0.315464391459376,298.1767793381097,291.4989456134057,2020-01-27,-0.025455416984635604,-1
2020-01-21,304.48828125,305.2970684040358,304.0471450189459,304.12065837484573,77742400,SPY,73.92613409455166,3.785438574971579,3.4935137673959358,0.2919248075756431,298.7778747582897,292.0083313246447,2020-01-28,-0.013311087217283135,0
2020-01-22,304.5250549316406,306.004774181987,304.36882853088946,305.3522134207883,48914900,SPY,73.98723827681837,3.78396949730444,3.551604913377637,0.23236458392680337,299.32522525098983,292.4991832308014,2020-01-29,-0.014245275200309604,0
2020-01-23,304.8743896484375,305.2879830297474,302.75133679309556,303.87260511024095,51963000,SPY,74.59628698444459,3.7675635079102676,3.5947966322841634,0.17276687562610427,299.8537170983658,292.9844854432577,2020-01-30,-0.012179528502348935,0
2020-01-24,302.1629943847656,305.61871068388916,300.8671007725943,305.53599765091957,87578400,SPY,62.38687934121643,3.495480976577369,3.5749335011428047,-0.07945252456543583,300.0736482684991,293.34442697037565,2020-01-31,-0.0214130965127024,-1
2020-01-27,297.319580078125,298.80847116922484,296.5475635141411,296.8876154241044,84062500,SPY,47.447457278586185,2.856107128689075,3.431168226652059,-0.5750610979629838,299.81135605989203,293.5003153275423,2020-02-03,0.001916024604601274,0
2020-01-28,300.4352111816406,301.3175117188692,297.411458947893,298.7532951052364,63834000,SPY,54.92494773622138,2.571165345824056,3.2591676504864586,-0.6880023046624024,299.8707708333919,293.772272027703,2020-02-04,0.006638217405352975,0
2020-01-29,300.18701171875,302.03435368828247,299.9848149457274,301.8045859029307,53888900,SPY,54.262575641355056,2.2988199423137985,3.0670981088519267,-0.7682781665381282,299.9008890129498,294.0238304469598,2020-02-05,0.019104505166863683,0
2020-01-30,301.1611633300781,301.37255974661133,297.3562241672184,298.1098410327922,75491800,SPY,56.48088849073153,2.136956635711556,2.881069814223853,-0.744113178512297,300.0209151383906,294.3037258541409,2020-02-06,0.019226425550762816,0
2020-01-31,295.6927490234375,300.6924979485136,294.7736779423253,300.53624352368223,113845600,SPY,43.675140696142556,1.5495610902859198,2.6147680694362663,-1.0652069791503465,299.6087088417284,294.35819735097607,2020-02-07,0.032542836088617744,1
2020-02-03,297.8892517089844,299.7641641737553,297.0620935194088,297.18157722249083,69083000,SPY,48.705818883831434,1.24691167673069,2.341196790895151,-1.0942851141644612,299.4449510195623,294.49667007089795,2020-02-10,0.03258081584963368,1
2020-02-04,302.4295654296875,303.30269428478084,301.19801339312164,301.5196939211996,62573200,SPY,57.21285925045997,1.3577736389673873,2.1445121605095987,-0.7867385215422114,299.72920001100283,294.8077640065368,2020-02-11,0.018841652260360497,0
2020-02-05,305.92193603515625,306.1333324460902,303.90919650417135,305.37968755265837,65951100,SPY,62.381025655272026,1.7077517643587043,2.0571600812794197,-0.3494083169207154,300.31898439425555,295.24361389001206,2020-02-12,0.013699903735367114,0
2020-02-06,306.951416015625,307.14441311834696,305.86689066016066,306.88707429877513,50359700,SPY,63.77024519318566,2.044613350906559,2.0546507352048478,-0.01003738429828882,300.9506445486717,295.7027433851341,2020-02-13,0.009221943046577863,0
2020-02-07,305.3154296875,306.96054675693904,304.763981419654,305.8852492800721,64139400,SPY,59.97959336093297,2.154729777429452,2.074666543649769,0.08006323377968316,301.3663383714172,296.079711475423,2020-02-14,0.016255461500817248,0
2020-02-10,307.5947265625,307.659068274648,304.387177215837,304.42394791532524,42070000,SPY,63.256625894530345,2.3982722580108202,2.1393876865219794,0.2588845714888408,301.9595181991394,296.53128069452407,2020-02-18,0.0061253480412855055,0
2020-02-11,308.1278381347656,309.7453844721348,307.5947610997214,308.95499665525864,54864500,SPY,63.999155614561815,2.604278574681132,2.23236586415381,0.3719127105273219,302.5469772406276,296.98604765296494,2020-02-19,0.009186733966323635,0
2020-02-12,310.113037109375,310.3244055487138,309.20313748880835,309.5707603835023,43992700,SPY,66.69798789794743,2.8943645976859216,2.3647656108602324,0.5295989868256892,303.2675543709845,297.5008315532163,2020-02-20,-0.0013930624780058576,0
2020-02-13,309.7821044921875,310.7563176199279,308.4034978343105,308.6792079467562,54501900,SPY,65.81228031397666,3.0622565767580454,2.504263804039795,0.5579927727182503,303.88798771586096,297.98245009984265,2020-02-21,-0.010621183850953675,0
2020-02-14,310.2784729003906,310.3979566556613,308.9917787048406,310.19575985008703,64582200,SPY,66.53020668035573,3.1984947060101376,2.6431099844338637,0.5553847215762739,304.49660535248285,298.4646470724132,2020-02-24,-0.0449647666197347,-1
2020-02-18,309.4788513183594,310.34278047914535,308.0818451616025,309.2766545350302,57226200,SPY,64.19162160353049,3.2049964223161282,2.755487272010317,0.4495091503058113,304.9711049682806,298.8965766506856,2020-02-25,-0.07151136825420523,-1
2020-02-19,310.9585266113281,311.6386302806508,310.168138892691,310.45304870269507,48814700,SPY,66.53575302532536,3.2916029593475287,2.8627104094777596,0.4288925498697691,305.5413356009518,299.369594296201,2020-02-26,-0.07932831567902965,-1
2020-02-20,309.6810302734375,311.2342627359956,306.6756497102531,310.4070762759255,74163400,SPY,62.718334768901606,3.2200373991917104,2.9341758074205497,0.28586159177116066,305.93559223642666,299.773964334524,2020-02-27,-0.117050112597742,-1
2020-02-21,306.4918518066406,308.63327520742,305.6646653479341,308.32079438765703,113788200,SPY,54.33698358820968,2.872864533921245,2.9219135527206888,-0.0490490187994439,305.9885693383518,300.037410902058,2020-02-28,-0.11161067894704091,-1
2020-02-24,296.3268737792969,306.5653097757287,295.24234872094894,296.98860599802606,161088400,SPY,37.250196936194875,1.7572423662555252,2.6889793154276562,-0.931736949172131,305.068407856537,299.8918996423419,2020-03-02,-0.041343397281926486,-1
2020-02-25,287.34759521484375,298.3396785364402,286.4652947464969,297.7239165603431,218913200,SPY,28.672812889344343,0.1468581344099107,2.1805550792241073,-2.0336969448141966,303.380711414471,299.3999661353812,2020-03-03,-0.03969304380315397,-1
2020-02-26,286.29071044921875,292.3657582898536,285.5554646270687,288.75381480603454,194773800,SPY,27.859658614775682,-1.2008224061390251,1.504279582151481,-2.7051019882905063,301.7530922749232,298.8858776771003,2020-03-04,0.004365978074812427,0
2020-02-27,273.4328308105469,286.34576754874786,273.4328308105469,280.7394286623357,284353500,SPY,20.312386585489165,-3.268712687931668,0.5496811281348513,-3.818393816066519,299.05592451641115,297.8877189764512,2020-03-05,0.016638118932164714,0
2020-02-28,272.2840881347656,273.7821789284672,262.4316421043618,265.3359109468582,384975800,SPY,19.796399877927215,-4.94324195192911,-0.5489034878779411,-4.394338464051169,296.5062258133973,296.8836550218753,2020-03-06,0.004050344057326738,0
2020-03-02,284.0757141113281,284.1400558268676,270.6296979549401,274.07621495820456,238703600,SPY,37.38058317671245,-5.2582193093304,-1.4907666521684328,-3.767452657161967,295.3223675560574,296.38138282930487,2020-03-09,-0.11278261924224209,-1
2020-03-03,275.94189453125,288.44126693967274,273.48799043266723,284.4525017828348,300139100,SPY,32.14518422862676,-6.093925418419303,-2.4113984054186073,-3.682527013000696,293.4766082203614,295.57983426859687,2020-03-10,-0.039368334486462375,-1
